OBJECTID,safield002,safield003,sauid,saangle,sasize,sasymbolno,safield000,x,y,objectid_1,x1,y1
1067,桜上水4-16-12,,,,,,,139.6329951,35.66789351,1067,139.6329951,35.66789351
1068,桜上水4-16-9,,,,,,,139.6330761,35.66766118,1068,139.6330761,35.66766118
1069,桜上水4-16-4,,,,,,,139.6338585,35.66754521,1069,139.6338585,35.66754521
1070,桜上水4-15-31,,,,,,,139.6345424,35.66760421,1070,139.6345424,35.66760421
1071,大原1-59-10,,,,,,,139.6616328,35.67094923,1071,139.6616328,35.67094923
1072,羽根木1-11-8,,,,,,,139.6609673,35.66759103,1072,139.6609673,35.66759103
1073,北沢5-9-1,,,,,,,139.6690131,35.66882454,1073,139.6690131,35.66882454
1074,北沢5-8-1,,,,,,,139.6695138,35.66878249,1074,139.6695138,35.66878249
1075,北沢5-7-5,,,,,,,139.6699915,35.66934055,1075,139.6699915,35.66934055
1076,北沢5-6-2,,,,,,,139.6700049,35.66870087,1076,139.6700049,35.66870087
1077,北沢5-6-3,,,,,,,139.6701878,35.6687277,1077,139.6701878,35.6687277
1078,北沢5-5-20,,,,,,,139.6704415,35.66866802,1078,139.6704415,35.66866802
1079,北沢5-5-4,,,,,,,139.6699822,35.66888922,1079,139.6699822,35.66888922
1080,北沢5-42-7,,,,,,,139.66662,35.67138105,1080,139.66662,35.67138105
1081,北沢5-42-2,,,,,,,139.6669269,35.671098,1081,139.6669269,35.671098
1082,北沢5-41-11,,,,,,,139.6672221,35.67111697,1082,139.6672221,35.67111697
1083,北沢5-40-8,,,,,,,139.6662834,35.67105519,1083,139.6662834,35.67105519
1084,北沢5-4-9,,,,,,,139.6708402,35.6689158,1084,139.6708402,35.6689158
1085,北沢5-3-6,,,,,,,139.6711903,35.66886769,1085,139.6711903,35.66886769
1086,北沢5-3-1,,,,,,,139.6718714,35.66867535,1086,139.6718714,35.66867535
1087,北沢5-39-11,,,,,,,139.666665,35.670768,1087,139.666665,35.670768
1088,北沢5-39-7,,,,,,,139.6664572,35.67026845,1088,139.6664572,35.67026845
1089,北沢5-38-30,,,,,,,139.6680327,35.67016885,1089,139.6680327,35.67016885
1090,北沢5-37-7,,,,,,,139.667949,35.67115628,1090,139.667949,35.67115628
1091,北沢5-35-7,,,,,,,139.6685437,35.67023319,1091,139.6685437,35.67023319
1092,北沢5-34-14,,,,,,,139.6683151,35.67162613,1092,139.6683151,35.67162613
1093,北沢5-34-19,,,,,,,139.6689585,35.67129305,1093,139.6689585,35.67129305
1094,北沢5-21-7,,,,,,,139.6689514,35.67049731,1094,139.6689514,35.67049731
1095,北沢5-16-14,,,,,,,139.6687455,35.66993899,1095,139.6687455,35.66993899
1096,北沢5-16-5,,,,,,,139.6684241,35.66960306,1096,139.6684241,35.66960306
1097,北沢5-17-16,,,,,,,139.6692235,35.6699062,1097,139.6692235,35.6699062
1098,北沢5-18-4,,,,,,,139.6695208,35.66949531,1098,139.6695208,35.66949531
1099,北沢5-22-3,,,,,,,139.6700636,35.6700494,1099,139.6700636,35.6700494
1100,北沢5-23-24,,,,,,,139.6705234,35.67028131,1100,139.6705234,35.67028131
1101,北沢5-23-30,,,,,,,139.6711,35.66959921,1101,139.6711,35.66959921
1102,北沢5-23-2,,,,,,,139.6724859,35.669397,1102,139.6724859,35.669397
1103,北沢5-24-21,,,,,,,139.6718597,35.66994474,1103,139.6718597,35.66994474
1104,北沢5-1-14,,,,,,,139.6725307,35.66901046,1104,139.6725307,35.66901046
1105,北沢5-1-7,,,,,,,139.6720219,35.66885556,1105,139.6720219,35.66885556
1106,北沢5-26-2,,,,,,,139.671263,35.67050693,1106,139.671263,35.67050693
1107,北沢5-29-2,,,,,,,139.6711719,35.67139845,1107,139.6711719,35.67139845
1108,北沢5-29-10,,,,,,,139.6714559,35.67150339,1108,139.6714559,35.67150339
1109,北沢5-30-11,,,,,,,139.6711257,35.67165447,1109,139.6711257,35.67165447
1110,北沢5-30-8,,,,,,,139.6709253,35.67181599,1110,139.6709253,35.67181599
1111,北沢5-25-10,,,,,,,139.6706561,35.67127733,1111,139.6706561,35.67127733
1112,北沢5-32-3,,,,,,,139.6697645,35.67103978,1112,139.6697645,35.67103978
1113,北沢5-22-15,,,,,,,139.6701107,35.67068196,1113,139.6701107,35.67068196
1114,北沢5-22-9,,,,,,,139.6696471,35.6704915,1114,139.6696471,35.6704915
1115,大原1-35-15,,,,,,,139.6659844,35.67131266,1115,139.6659844,35.67131266
1116,北沢5-14-19,,,,,,,139.667421,35.66964296,1116,139.667421,35.66964296
1117,北沢5-12-13,,,,,,,139.6661517,35.66894922,1117,139.6661517,35.66894922
1118,北沢5-12-3,,,,,,,139.6675659,35.66885095,1118,139.6675659,35.66885095
1119,北沢5-11-16,,,,,,,139.6680575,35.66912573,1119,139.6680575,35.66912573
1120,北沢4-33-4,,,,,,,139.6725434,35.66833301,1120,139.6725434,35.66833301
1121,北沢4-32-28,,,,,,,139.6726828,35.66779237,1121,139.6726828,35.66779237
1122,北沢4-32-20,,,,,,,139.6714114,35.66777579,1122,139.6714114,35.66777579
1123,北沢4-32-15,,,,,,,139.6712622,35.66812857,1123,139.6712622,35.66812857
1124,北沢4-32-13,,,,,,,139.6710892,35.66799421,1124,139.6710892,35.66799421
1125,北沢4-29-3,,,,,,,139.6707421,35.66750412,1125,139.6707421,35.66750412
1126,北沢4-29-12,,,,,,,139.6700856,35.66775886,1126,139.6700856,35.66775886
1127,北沢4-7-19,,,,,,,139.66949,35.66736695,1127,139.66949,35.66736695
1128,北沢4-28-4,,,,,,,139.6698527,35.66825619,1128,139.6698527,35.66825619
1129,北沢4-26-24,,,,,,,139.668882,35.66809208,1129,139.668882,35.66809208
1130,北沢4-26-22,,,,,,,139.6687363,35.66815669,1130,139.6687363,35.66815669
1131,北沢4-24-23,,,,,,,139.6682145,35.66829299,1131,139.6682145,35.66829299
1132,北沢4-26-13,,,,,,,139.6685044,35.66793644,1132,139.6685044,35.66793644
1133,北沢4-26-9,,,,,,,139.6690359,35.6674077,1133,139.6690359,35.6674077
1134,北沢4-23-2,,,,,,,139.6686687,35.66746182,1134,139.6686687,35.66746182
1135,北沢4-24-8,,,,,,,139.6670204,35.66853399,1135,139.6670204,35.66853399
1136,北沢4-24-5,,,,,,,139.667504,35.66842226,1136,139.667504,35.66842226
1137,北沢4-20-15,,,,,,,139.6674019,35.66831792,1137,139.6674019,35.66831792
1138,北沢4-20-5,,,,,,,139.6670439,35.66791298,1138,139.6670439,35.66791298
1139,北沢4-21-17,,,,,,,139.6677136,35.66799349,1139,139.6677136,35.66799349
1140,北沢4-21-13,,,,,,,139.6671544,35.6675177,1140,139.6671544,35.6675177
1141,北沢4-17-16,,,,,,,139.6668556,35.667583,1141,139.6668556,35.667583
1142,北沢4-17-10,,,,,,,139.6660986,35.66771697,1142,139.6660986,35.66771697
1143,北沢4-16-14,,,,,,,139.6659738,35.66733624,1143,139.6659738,35.66733624
1144,北沢4-19-4,,,,,,,139.6665578,35.66830098,1144,139.6665578,35.66830098
1145,大原1-14-1,,,,,,,139.665968,35.66790293,1145,139.665968,35.66790293
1146,大原1-6-13,,,,,,,139.6642521,35.66770232,1146,139.6642521,35.66770232
1147,大原1-5-5,,,,,,,139.6634905,35.66728616,1147,139.6634905,35.66728616
1148,大原1-5-11,,,,,,,139.6631828,35.66749791,1148,139.6631828,35.66749791
1149,大原1-5-7,,,,,,,139.6629189,35.66731744,1149,139.6629189,35.66731744
1150,大原1-19-2,,,,,,,139.6635906,35.66789248,1150,139.6635906,35.66789248
1151,大原1-19-8,,,,,,,139.66296,35.66780551,1151,139.66296,35.66780551
1152,大原1-14-6,,,,,,,139.6651951,35.66799199,1152,139.6651951,35.66799199
1153,大原1-12-15,,,,,,,139.664426,35.66839959,1153,139.664426,35.66839959
1154,大原1-29-4,,,,,,,139.6628159,35.6686397,1154,139.6628159,35.6686397
1155,大原1-15-14,,,,,,,139.6657816,35.66872995,1155,139.6657816,35.66872995
1156,大原1-21-7,,,,,,,139.6624531,35.66766661,1156,139.6624531,35.66766661
1157,大原1-48-1,,,,,,,139.6629982,35.66947571,1157,139.6629982,35.66947571
1158,大原1-49-10,,,,,,,139.6630899,35.66972462,1158,139.6630899,35.66972462
1159,大原1-47-6,,,,,,,139.6626682,35.67015344,1159,139.6626682,35.67015344
1160,大原1-44-5,,,,,,,139.6632043,35.67071737,1160,139.6632043,35.67071737
1161,大原1-31-13,,,,,,,139.6645968,35.66947634,1161,139.6645968,35.66947634
1162,大原1-31-17,,,,,,,139.6649578,35.66910494,1162,139.6649578,35.66910494
1163,大原1-34-20,,,,,,,139.6659603,35.6697373,1163,139.6659603,35.6697373
1164,大原1-39-15,,,,,,,139.6653865,35.6705051,1164,139.6653865,35.6705051
1165,大原1-57-5,,,,,,,139.6628853,35.67117103,1165,139.6628853,35.67117103
1166,大原1-59-15,,,,,,,139.6622878,35.67131648,1166,139.6622878,35.67131648
1167,大原1-59-23,,,,,,,139.6624487,35.67104828,1167,139.6624487,35.67104828
1168,大原1-43-2,,,,,,,139.6635618,35.67082262,1168,139.6635618,35.67082262
1169,大原2-18-3,,,,,,,139.6593893,35.67080314,1169,139.6593893,35.67080314
1170,大原2-13-13,,,,,,,139.6604058,35.67062307,1170,139.6604058,35.67062307
1171,大原2-20-10,,,,,,,139.6613486,35.67073177,1171,139.6613486,35.67073177
1172,大原2-26-20,,,,,,,139.6592073,35.67147566,1172,139.6592073,35.67147566
1173,大原2-14-14,,,,,,,139.6600675,35.67033333,1173,139.6600675,35.67033333
1174,大原1-59-7,,,,,,,139.6616931,35.67060409,1174,139.6616931,35.67060409
1175,大原1-55-14,,,,,,,139.662315,35.67067889,1175,139.662315,35.67067889
1176,大原1-62-3,,,,,,,139.6611283,35.67183852,1176,139.6611283,35.67183852
1177,大原2-23-18,,,,,,,139.6606552,35.67216964,1177,139.6606552,35.67216964
1178,大原2-23-6,,,,,,,139.6602268,35.67159593,1178,139.6602268,35.67159593
1179,大原2-24-22,,,,,,,139.6597484,35.67207414,1179,139.6597484,35.67207414
1180,大原2-24-19,,,,,,,139.6594311,35.67207242,1180,139.6594311,35.67207242
1181,大原2-29-24,,,,,,,139.6584931,35.67083222,1181,139.6584931,35.67083222
1182,大原2-27-4,,,,,,,139.6578497,35.67099434,1182,139.6578497,35.67099434
1183,大原2-27-3,,,,,,,139.6579358,35.67122297,1183,139.6579358,35.67122297
1184,大原2-27-15,,,,,,,139.6567086,35.67126237,1184,139.6567086,35.67126237
1185,松原1-58-14,,,,,,,139.6569948,35.67107296,1185,139.6569948,35.67107296
1186,松原1-58-19,,,,,,,139.6572487,35.67071413,1186,139.6572487,35.67071413
