市区町村コード,NO,都道府県名,市区町村名,種別,住所（都道府県）,住所（市区町村）,住所（町名番地）,方書,緯度,経度,消火器番号,備考
013206,0000002034,東京都,府中市,その他,東京都,府中市,白糸台6丁目7番地,,35.6643889,139.5204175,02-034,
013206,0000002035,東京都,府中市,その他,東京都,府中市,白糸台6丁目59番地19,,35.65946543,139.518262,02-035,
013206,0000002036,東京都,府中市,その他,東京都,府中市,白糸台6丁目2番地,,35.66412728,139.5191637,02-036,
013206,0000002037,東京都,府中市,その他,東京都,府中市,白糸台6丁目3番地2,,35.66378582,139.5196169,02-037,
013206,0000002038,東京都,府中市,その他,東京都,府中市,白糸台6丁目46番地,,35.6623131,139.5167493,02-038,
013206,0000002040,東京都,府中市,その他,東京都,府中市,白糸台6丁目32番地12,,35.66160571,139.5185164,02-040,
013206,0000002041,東京都,府中市,その他,東京都,府中市,白糸台1丁目33番地,,35.66938603,139.5069537,02-041,
013206,0000002042,東京都,府中市,その他,東京都,府中市,白糸台1丁目55番地7,,35.66896058,139.5095304,02-042,
013206,0000002043,東京都,府中市,その他,東京都,府中市,白糸台1丁目18番地3,,35.66813169,139.508802,02-043,
013206,0000002044,東京都,府中市,その他,東京都,府中市,白糸台1丁目26番地,,35.67014489,139.5087512,02-044,
013206,0000002046,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目23番地,,35.67252999,139.5078659,02-046,
013206,0000002047,東京都,府中市,その他,東京都,府中市,白糸台1丁目45番地13,,35.67160218,139.5067514,02-047,
013206,0000002048,東京都,府中市,その他,東京都,府中市,白糸台1丁目4番地,,35.66884013,139.5053794,02-048,
013206,0000002049,東京都,府中市,その他,東京都,府中市,白糸台2丁目1番地,,35.66740665,139.5095588,02-049,
013206,0000002050,東京都,府中市,その他,東京都,府中市,白糸台2丁目56番地15,,35.66800885,139.514058,02-050,
013206,0000002051,東京都,府中市,その他,東京都,府中市,白糸台3丁目7番地,,35.66491111,139.5152176,02-051,
013206,0000002052,東京都,府中市,その他,東京都,府中市,白糸台3丁目37番地13,,35.66772606,139.5185855,02-052,
013206,0000002053,東京都,府中市,その他,東京都,府中市,白糸台1丁目8番地,,35.66867711,139.5062287,02-053,
013206,0000002054,東京都,府中市,その他,東京都,府中市,白糸台1丁目61番地,,35.66733487,139.5059543,02-054,
013206,0000002055,東京都,府中市,その他,東京都,府中市,白糸台4丁目16番地4,,35.6637643,139.5111401,02-055,
013206,0000002056,東京都,府中市,その他,東京都,府中市,白糸台1丁目62番地4,,35.6671851,139.5053223,02-056,
013206,0000002057,東京都,府中市,その他,東京都,府中市,若松町1丁目24番地,,35.66818903,139.5046303,02-057,
013206,0000002058,東京都,府中市,その他,東京都,府中市,白糸台2丁目44番地3,,35.66887253,139.5124126,02-058,
013206,0000002059,東京都,府中市,その他,東京都,府中市,白糸台1丁目59番地,,35.66687644,139.5069836,02-059,
013206,0000002060,東京都,府中市,その他,東京都,府中市,白糸台1丁目52番地,,35.67078023,139.5092216,02-060,
013206,0000002061,東京都,府中市,その他,東京都,府中市,白糸台5丁目13番地2,,35.66212701,139.5155533,02-061,
013206,0000002062,東京都,府中市,その他,東京都,府中市,白糸台6丁目22番地,,35.66339706,139.5180727,02-062,
013206,0000002063,東京都,府中市,その他,東京都,府中市,白糸台6丁目10番地,,35.66525184,139.5193539,02-063,
013206,0000002064,東京都,府中市,その他,東京都,府中市,白糸台1丁目58番地,,35.66696753,139.5083229,02-064,
013206,0000002065,東京都,府中市,その他,東京都,府中市,白糸台2丁目68番地,,35.66571742,139.5098899,02-065,
013206,0000002066,東京都,府中市,その他,東京都,府中市,白糸台1丁目79番地11,,35.6658534,139.5052559,02-066,
013206,0000002067,東京都,府中市,その他,東京都,府中市,白糸台1丁目75番地,,35.66492147,139.507128,02-067,
013206,0000002068,東京都,府中市,その他,東京都,府中市,白糸台2丁目44番地,,35.6693761,139.5119508,02-068,
013206,0000002070,東京都,府中市,その他,東京都,府中市,白糸台3丁目7番地1,,35.66572583,139.5155272,02-070,
013206,0000002071,東京都,府中市,その他,東京都,府中市,白糸台2丁目24番地,,35.66829877,139.5118652,02-071,
013206,0000002072,東京都,府中市,その他,東京都,府中市,白糸台4丁目20番地4,,35.66316274,139.5102853,02-072,
013206,0000002073,東京都,府中市,その他,東京都,府中市,白糸台3丁目10番地,,35.6665695,139.5153315,02-073,
013206,0000002074,東京都,府中市,その他,東京都,府中市,白糸台3丁目13番地8,,35.66496911,139.517219,02-074,
013206,0000002076,東京都,府中市,その他,東京都,府中市,白糸台6丁目45番地8,,35.66165745,139.5170614,02-076,
013206,0000002077,東京都,府中市,その他,東京都,府中市,白糸台6丁目39番地,,35.66072075,139.5193212,02-077,
013206,0000002078,東京都,府中市,その他,東京都,府中市,白糸台6丁目16番地,,35.66207233,139.5198831,02-078,
013206,0000002079,東京都,府中市,その他,東京都,府中市,白糸台6丁目36番地,,35.66161612,139.5191008,02-079,
013206,0000002080,東京都,府中市,その他,東京都,府中市,白糸台6丁目28番地,,35.66209669,139.5177169,02-080,
013206,0000002081,東京都,府中市,その他,東京都,府中市,白糸台6丁目15番地1,,35.66328093,139.520533,02-081,
013206,0000002082,東京都,府中市,その他,東京都,府中市,白糸台5丁目1番地,,35.66466848,139.5126879,02-082,
013206,0000002083,東京都,府中市,その他,東京都,府中市,白糸台5丁目4番地,,35.66453071,139.5138422,02-083,
013206,0000002084,東京都,府中市,その他,東京都,府中市,白糸台5丁目9番地6,,35.66378563,139.5163993,02-084,
013206,0000002085,東京都,府中市,その他,東京都,府中市,白糸台2丁目21番地,,35.66812781,139.5126881,02-085,
013206,0000002087,東京都,府中市,その他,東京都,府中市,白糸台2丁目5番地,,35.6675987,139.5105355,02-087,
013206,0000002088,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66168201,139.5135193,02-088,
013206,0000002089,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66182875,139.5144229,02-089,
013206,0000002090,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地11,,35.66159045,139.515115,02-090,
013206,0000002091,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66109447,139.5159398,02-091,
013206,0000002092,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66119635,139.515228,02-092,
013206,0000002093,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66140824,139.514614,02-093,
013206,0000002094,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66145336,139.5135978,02-094,
013206,0000002095,東京都,府中市,その他,東京都,府中市,押立町2丁目1番地,,35.66107191,139.5135771,02-095,
013206,0000002096,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66094939,139.5140787,02-096,
013206,0000002097,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66095544,139.514828,02-097,
013206,0000002098,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66083193,139.515376,02-098,
013206,0000002099,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地,,35.66052179,139.5153841,02-099,
013206,0000002100,東京都,府中市,その他,東京都,府中市,白糸台5丁目31番地1,,35.66063327,139.51444,02-100,
013206,0000002101,東京都,府中市,その他,東京都,府中市,押立町2丁目1番地,,35.66074542,139.5134068,02-101,
013206,0000002102,東京都,府中市,その他,東京都,府中市,押立町2丁目1番地,,35.66046366,139.5132887,02-102,
013206,0000002103,東京都,府中市,その他,東京都,府中市,押立町2丁目1番地,,35.66043331,139.513827,02-103,
013206,0000002104,東京都,府中市,その他,東京都,府中市,押立町2丁目1番地,,35.66035283,139.5142606,02-104,
013206,0000002105,東京都,府中市,その他,東京都,府中市,押立町2丁目1番地,,35.66032575,139.5146727,02-105,
013206,0000002106,東京都,府中市,その他,東京都,府中市,押立町2丁目1番地,,35.66029132,139.5149684,02-106,
013206,0000002107,東京都,府中市,その他,東京都,府中市,押立町2丁目1番地,,35.66020734,139.515457,02-107,
013206,0000002108,東京都,府中市,その他,東京都,府中市,押立町2丁目30番地,,35.65970255,139.5163942,02-108,
013206,0000002109,東京都,府中市,その他,東京都,府中市,白糸台4丁目32番地,,35.66431831,139.5068583,02-109,
013206,0000002110,東京都,府中市,その他,東京都,府中市,白糸台4丁目29番地,,35.66350147,139.5074661,02-110,
013206,0000002111,東京都,府中市,その他,東京都,府中市,白糸台1丁目14番地5,,35.66914684,139.5082935,02-111,
013206,0000002112,東京都,府中市,その他,東京都,府中市,白糸台3丁目50番地,,35.66490274,139.5146171,02-112,
013206,0000002113,東京都,府中市,その他,東京都,府中市,白糸台2丁目9番地,,35.66724136,139.5116734,02-113,
013206,0000002114,東京都,府中市,その他,東京都,府中市,白糸台3丁目8番地,,35.66638361,139.5151365,02-114,
013206,0000002115,東京都,府中市,その他,東京都,府中市,若松町2丁目41番地,,35.67265435,139.5055691,02-115,
013206,0000002116,東京都,府中市,その他,東京都,府中市,若松町2丁目39番地,,35.67120549,139.5053305,02-116,
013206,0000002117,東京都,府中市,その他,東京都,府中市,白糸台2丁目62番地,,35.66602058,139.5122715,02-117,
013206,0000002118,東京都,府中市,その他,東京都,府中市,白糸台3丁目1番地13,,35.66555556,139.513908,02-118,
013206,0000002119,東京都,府中市,その他,東京都,府中市,白糸台4丁目44番地,,35.66218802,139.5100292,02-119,
013206,0000002120,東京都,府中市,その他,東京都,府中市,白糸台4丁目44番地,,35.66158637,139.5101093,02-120,
013206,0000002121,東京都,府中市,その他,東京都,府中市,白糸台5丁目25番地,,35.6620343,139.512317,02-121,
013206,0000002122,東京都,府中市,その他,東京都,府中市,白糸台3丁目2番地,,35.6676493,139.5141421,02-122,
013206,0000002123,東京都,府中市,その他,東京都,府中市,白糸台1丁目58番地,,35.66631413,139.5077224,02-123,
013206,0000002124,東京都,府中市,その他,東京都,府中市,白糸台1丁目13番地,,35.66777594,139.5082702,02-124,
013206,0000002125,東京都,府中市,その他,東京都,府中市,白糸台1丁目66番地,,35.66622376,139.5056024,02-125,
013206,0000002126,東京都,府中市,その他,東京都,府中市,白糸台1丁目5番地,,35.66829772,139.5062275,02-126,
013206,0000002128,東京都,府中市,その他,東京都,府中市,白糸台1丁目71番地,,35.66607661,139.5069496,02-128,
013206,0000002129,東京都,府中市,その他,東京都,府中市,白糸台1丁目47番地,,35.67246899,139.5064553,02-129,
013206,0000002130,東京都,府中市,その他,東京都,府中市,白糸台2丁目62番地,,35.66561509,139.5120113,02-130,
013206,0000002131,東京都,府中市,その他,東京都,府中市,白糸台4丁目7番地,,35.66499966,139.5092559,02-131,
013206,0000002132,東京都,府中市,その他,東京都,府中市,白糸台5丁目2番地,,35.66434455,139.5125374,02-132,
013206,0000002134,東京都,府中市,その他,東京都,府中市,白糸台3丁目35番地8,,35.66845798,139.5170122,02-134,
013206,0000002135,東京都,府中市,その他,東京都,府中市,白糸台3丁目26番地10,,35.66823501,139.515265,02-135,
013206,0000003001,東京都,府中市,その他,東京都,府中市,紅葉丘2丁目4番地4,,35.67707966,139.5117116,03-001,
013206,0000003002,東京都,府中市,その他,東京都,府中市,紅葉丘2丁目8番地,,35.67681306,139.5124702,03-002,
013206,0000003003,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目29番地,,35.67618131,139.5148314,03-003,
013206,0000003004,東京都,府中市,その他,東京都,府中市,多磨町2丁目19番地,,35.68597682,139.5198869,03-004,
013206,0000003005,東京都,府中市,その他,東京都,府中市,多磨町2丁目11番地3,,35.68361974,139.5184118,03-005,
013206,0000003006,東京都,府中市,その他,東京都,府中市,朝日町2丁目16番地2,,35.67484049,139.5185665,03-006,
013206,0000003007,東京都,府中市,その他,東京都,府中市,朝日町1丁目24番地,,35.67205397,139.5161589,03-007,
013206,0000003009,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目25番地,,35.67219084,139.5100081,03-009,
013206,0000003010,東京都,府中市,その他,東京都,府中市,多磨町1丁目9番地,,35.68056415,139.5175046,03-010,
013206,0000003011,東京都,府中市,その他,東京都,府中市,府中市紅葉丘3丁目45番地10,,35.67409964,139.5151961,03-011,
013206,0000003013,東京都,府中市,その他,東京都,府中市,多磨町1丁目24番地,,35.67799416,139.518609,03-013,
013206,0000003014,東京都,府中市,その他,東京都,府中市,朝日町1丁目20番地,,35.67309466,139.5175713,03-014,
013206,0000003016,東京都,府中市,その他,東京都,府中市,朝日町2丁目29番地,,35.67722557,139.5178687,03-016,
013206,0000003017,東京都,府中市,その他,東京都,府中市,朝日町1丁目32番地55,,35.66932578,139.5164775,03-017,
013206,0000003018,東京都,府中市,その他,東京都,府中市,朝日町1丁目3番地,,35.67046944,139.5148478,03-018,
013206,0000003019,東京都,府中市,その他,東京都,府中市,朝日町1丁目24番地,,35.67198411,139.5170454,03-019,
013206,0000003020,東京都,府中市,その他,東京都,府中市,朝日町1丁目22番地,,35.67213474,139.5174626,03-020,
013206,0000003022,東京都,府中市,その他,東京都,府中市,朝日町2丁目10番地,,35.67400647,139.5163575,03-022,
013206,0000003023,東京都,府中市,その他,東京都,府中市,朝日町2丁目11番地,,35.67508435,139.5165364,03-023,
013206,0000003024,東京都,府中市,その他,東京都,府中市,朝日町2丁目15番地,,35.67476356,139.5181008,03-024,
013206,0000003025,東京都,府中市,その他,東京都,府中市,朝日町2丁目21番地,,35.6758274,139.5185624,03-025,
013206,0000003026,東京都,府中市,その他,東京都,府中市,朝日町2丁目6番地,,35.67391924,139.5178601,03-026,
013206,0000003027,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目40番地4,,35.67757258,139.5164475,03-027,
013206,0000003028,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目39番地,,35.67637667,139.5165621,03-028,
013206,0000003029,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目32番地35,,35.67521885,139.5160284,03-029,
013206,0000003030,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目22番地1,,35.6740122,139.5141112,03-030,
013206,0000003031,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目48番地,,35.67290446,139.5144906,03-031,
013206,0000003032,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目13番地,,35.67217197,139.5137857,03-032,
013206,0000003033,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目41番地,,35.67703645,139.5163568,03-033,
013206,0000003034,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目52番地,,35.67111157,139.5130354,03-034,
013206,0000003035,東京都,府中市,その他,東京都,府中市,紅葉丘3丁目21番地1,,35.67457058,139.5130958,03-035,
013206,0000003036,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目39番地13,,35.67723877,139.5149483,03-036,
013206,0000003037,東京都,府中市,その他,東京都,府中市,多磨町2丁目36番地,,35.68449341,139.5201633,03-037,
013206,0000003038,東京都,府中市,その他,東京都,府中市,多磨町2丁目36番地17,,35.68429363,139.5205933,03-038,
013206,0000003039,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目39番地,,35.67713269,139.5142849,03-039,
013206,0000003040,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目34番地3,,35.67602469,139.5119727,03-040,
013206,0000003041,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目33番地,,35.6756285,139.5136688,03-041,
013206,0000003042,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目28番地5,,35.67375013,139.5108189,03-042,
013206,0000003043,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目23番地,,35.67264843,139.5101323,03-043,
013206,0000003044,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目18番地,,35.67480471,139.5107723,03-044,
013206,0000003045,東京都,府中市,その他,東京都,府中市,紅葉丘1丁目35番地,,35.67611435,139.5140853,03-045,
013206,0000003046,東京都,府中市,その他,東京都,府中市,紅葉丘2丁目34番地,,35.67851726,139.5099731,03-046,
013206,0000003047,東京都,府中市,その他,東京都,府中市,紅葉丘2丁目41番地,,35.67889472,139.5073898,03-047,
013206,0000003049,東京都,府中市,その他,東京都,府中市,紅葉丘2丁目26番地,,35.68018788,139.5155938,03-049,
013206,0000003050,東京都,府中市,その他,東京都,府中市,紅葉丘2丁目25番地,,35.68135915,139.5162009,03-050,
013206,0000003051,東京都,府中市,その他,東京都,府中市,紅葉丘2丁目25番地12,,35.68137846,139.5167811,03-051,
013206,0000003053,東京都,府中市,その他,東京都,府中市,紅葉丘2丁目29番地,,35.6777979,139.5144831,03-053,
013206,0000003054,東京都,府中市,その他,東京都,府中市,紅葉丘2丁目35番地8,,35.67753709,139.509903,03-054,
013206,0000003056,東京都,府中市,その他,東京都,府中市,多磨町2丁目20番地,,35.68658277,139.5188227,03-056,
013206,0000003057,東京都,府中市,その他,東京都,府中市,多磨町2丁目43番地,,35.68145454,139.5182419,03-057,
013206,0000003058,東京都,府中市,その他,東京都,府中市,多磨町2丁目12番地48,,35.68437939,139.5179691,03-058,
013206,0000003059,東京都,府中市,その他,東京都,府中市,多磨町1丁目17番地,,35.67970627,139.5199256,03-059,
013206,0000003060,東京都,府中市,その他,東京都,府中市,多磨町1丁目35番地1,,35.67963675,139.5239353,03-060,
013206,0000003061,東京都,府中市,その他,東京都,府中市,多磨町1丁目24番地2,,35.6780926,139.5194429,03-061,
013206,0000003062,東京都,府中市,その他,東京都,府中市,多磨町1丁目36番地1,,35.67981675,139.5230478,03-062,
013206,0000003063,東京都,府中市,その他,東京都,府中市,多磨町1丁目22番地5,,35.67857713,139.5180519,03-063,
013206,0000003064,東京都,府中市,その他,東京都,府中市,多磨町1丁目18番地2,,35.67928783,139.5197951,03-064,
013206,0000003065,東京都,府中市,その他,東京都,府中市,多磨町1丁目9番地2,,35.68024041,139.517641,03-065,
013206,0000003066,東京都,府中市,その他,東京都,府中市,多磨町2丁目5番地,,35.68269568,139.5182628,03-066,
013206,0000003067,東京都,府中市,その他,東京都,府中市,多磨町2丁目17番地,,35.68510058,139.5194812,03-067,
013206,0000003068,東京都,府中市,その他,東京都,府中市,多磨町2丁目37番地,,35.68434774,139.5191919,03-068,
013206,0000003069,東京都,府中市,その他,東京都,府中市,多磨町2丁目43番地6,,35.68210877,139.5188908,03-069,
013206,0000003070,東京都,府中市,その他,東京都,府中市,多磨町2丁目45番地1,,35.68062522,139.519874,03-070,
013206,0000003071,東京都,府中市,その他,東京都,府中市,多磨町2丁目1番地,,35.68213879,139.5174226,03-071,
