管理番号,消火器種別,所在,経度,緯度,備考
国-6-34,強化液消火器（３型）,東京都台東区蔵前3-5-10,139.7914012,35.7037338,
国-6-35,強化液消火器（３型）,東京都台東区蔵前3-13-13,139.7922674,35.70446201,
国-6-36,強化液消火器（３型）,東京都台東区蔵前3-21-5,139.7928956,35.7049981,
国-6-37,強化液消火器（３型）,東京都台東区駒形1-1-12,139.7934251,35.70543515,
国-6-38,強化液消火器（３型）,東京都台東区駒形1-3-12,139.7942863,35.70635194,
国-6-39,強化液消火器（３型）,東京都台東区駒形1-4-16,139.7946746,35.7068707,
国-6-40,強化液消火器（３型）,東京都台東区駒形1-7-11,139.7952707,35.70771907,
国-6-41,強化液消火器（３型）,東京都台東区駒形1-12-14,139.7957262,35.70841628,
国-6-42,強化液消火器（３型）,東京都台東区雷門2-3-2,139.7964462,35.70922626,
国-6-43,強化液消火器（３型）,東京都台東区雷門2-19-17,139.7971096,35.71002287,
国-6-44,強化液消火器（３型）,東京都台東区花川戸1-4-1,139.7979644,35.71122859,
国-6-45,強化液消火器（３型）,東京都台東区花川戸1-4-1,139.7989358,35.71239389,
国-6-46,強化液消火器（３型）,東京都台東区花川戸1-10-14,139.7994648,35.71287422,
国-6-47,強化液消火器（３型）,東京都台東区花川戸1-13-14,139.7999994,35.71334626,
国-6-48,強化液消火器（３型）,東京都台東区花川戸2-3-11,139.8005755,35.71388902,
国-6-49,強化液消火器（３型）,東京都台東区花川戸2-16-1,139.8014163,35.71488451,
都-306-1,強化液消火器（３型）,東京都台東区橋場2-17-3,139.8083574,35.72809318,
都-306-2,強化液消火器（３型）,東京都台東区橋場2-18,139.80708,35.72825774,
都-306-3,強化液消火器（３型）,東京都台東区橋場2-22-12,139.8060887,35.72837802,
都-306-4,強化液消火器（３型）,東京都台東区清川2-24-11,139.8052311,35.72847962,
都-306-5,強化液消火器（３型）,東京都台東区清川2-25-19,139.8039098,35.72865993,
都-306-6,強化液消火器（３型）,東京都台東区清川2-25-13,139.8029096,35.72880856,
都-306-7,強化液消火器（３型）,東京都台東区清川2-36-6,139.8018668,35.72896875,
都-306-8,強化液消火器（３型）,東京都台東区清川2-38-14,139.8007993,35.72899651,
